ID,PLZ,Stadt,Straße,Hausnummer,LocationComment
21,46483,Wesel,"Hohe Straße",47,
22,46483,Wesel,"Hohe Straße",49,
23,46483,Wesel,"Hohe Straße",55,
24,46483,Wesel,"Hohe Straße",76,
25,46483,Wesel,"Hohe Straße",9,
26,46483,Wesel,"Hohe Straße",68,
27,46483,Wesel,"Hohe Straße",17,
28,46483,Wesel,"Hohe Straße",21,
29,46483,Wesel,"Hohe Straße",1,
30,46483,Wesel,"Hohe Straße",3,
31,46483,Wesel,"Hohe Straße",26,
32,46483,Wesel,"Hohe Straße",23,
33,46483,Wesel,"Hohe Straße",14,
34,46483,Wesel,"Hohe Straße",2,
35,46483,Wesel,"Hohe Straße",39,
